11. May 2019 | 21:27:15 | - AFK = 15
11. May 2019 | 21:27:15 | - PickupTeleport = 1
11. May 2019 | 21:27:15 | - FlyHack = 40
11. May 2019 | 21:27:15 | - JunkBusterChrome = 0
11. May 2019 | 21:27:15 | - CheckWalkAnims = 1
11. May 2019 | 21:27:15 | - ReportMoneyHack = 2
11. May 2019 | 21:27:15 | - SpeedhackAdvanced = 20
11. May 2019 | 21:27:15 | - Joypad = 0
11. May 2019 | 21:27:15 | - ArmedVehicles = 0
11. May 2019 | 21:27:15 | - VehicleRepair = 2
11. May 2019 | 21:27:15 | - TuningHack = 1
11. May 2019 | 21:27:15 | - PayForGuns = 0
11. May 2019 | 21:27:15 | - SpawnVehicles = 1
11. May 2019 | 21:27:15 | - MaxTotalWarnings = 3
11. May 2019 | 21:27:15 | - TooManyWarningsAction = 1
11. May 2019 | 21:27:15 | - AirbrakeDetection = 1
11. May 2019 | 21:27:15 | - SpeedhackDetection = 1
11. May 2019 | 21:27:15 | 0 IP-bans have been loaded.
11. May 2019 | 21:27:15 | 0 temporary bans have been loaded.
11. May 2019 | 21:27:15 | 0 whitelist entries have been loaded.
11. May 2019 | 21:27:15 | 1 blacklist entries have been loaded.
11. May 2019 | 21:27:15 | 12 bad words have been loaded.
11. May 2019 | 21:27:15 | 0 forbidden weapons have been loaded.
11. May 2019 | 21:27:15 | JunkBuster has been configurated.
11. May 2019 | 21:27:15 | JunkBuster (v11) has successfully been loaded.
11. May 2019 | 21:28:11 | Loading JunkBuster...
11. May 2019 | 21:28:11 | Current JunkBuster configuration: 
11. May 2019 | 21:28:11 | - WeaponHack = 1
11. May 2019 | 21:28:11 | - MoneyHack = 1
11. May 2019 | 21:28:11 | - Jetpack = 0
11. May 2019 | 21:28:11 | - HealthHack = 0
11. May 2019 | 21:28:11 | - ArmourHack = 1
11. May 2019 | 21:28:11 | - DriveBy = 3
11. May 2019 | 21:28:11 | - Spam = 1
11. May 2019 | 21:28:11 | - CommandSpam = 0
11. May 2019 | 21:28:11 | - BadWords = 0
11. May 2019 | 21:28:11 | - CarJackHack = 0
11. May 2019 | 21:28:11 | - TeleportHack = 1
11. May 2019 | 21:28:11 | - MaxPing = 1100
11. May 2019 | 21:28:11 | - SpectateHack = 0
11. May 2019 | 21:28:11 | - Blacklist = 1
11. May 2019 | 21:28:11 | - IpBans = 1
11. May 2019 | 21:28:11 | - TempBans = 1
11. May 2019 | 21:28:11 | - SpawnKill = 3
11. May 2019 | 21:28:11 | - CapsLock = 0
11. May 2019 | 21:28:11 | - 3DSpeed = 0
11. May 2019 | 21:28:11 | - MaxSpeed = 280
11. May 2019 | 21:28:11 | - AdminImmunity = 0
11. May 2019 | 21:28:11 | - Advertisement = 0
11. May 2019 | 21:28:11 | - FreezeUpdate = 0
11. May 2019 | 21:28:11 | - SpawnTime = 10
11. May 2019 | 21:28:11 | - CheckpointTeleport = 1
11. May 2019 | 21:28:11 | - Airbrake = 150
11. May 2019 | 21:28:11 | - TankMode = 0
11. May 2019 | 21:28:11 | - WarnPlayers = 0
11. May 2019 | 21:28:11 | - SingleplayerCheats = 0
11. May 2019 | 21:28:11 | - MinFPS = 0
11. May 2019 | 21:28:11 | - DisableBadWeapons = 1
11. May 2019 | 21:28:11 | - CBug = 0
11. May 2019 | 21:28:11 | - AntiBugKill = 0
11. May 2019 | 21:28:11 | - NoReload = 0
11. May 2019 | 21:28:11 | - NoReloadForSawnOff = 8
11. May 2019 | 21:28:11 | - ActiveGMC = 0
11. May 2019 | 21:28:11 | - GMCBan = 0
